Membership No  Date Joined  Active  
    49177      2020-1-3     no    
    90196      2015-5-11    no    
    39148      2020-1-2     no    
    43003      2017-2-14    no    
    59394      2020-10-7    no    
    62249      2017-9-1     no    
    98427      2015-9-16    no    
    45607      2019-6-17    no    
    60812      2018-6-25    no    
    44888      2018-5-20    no    
    37962      2017-10-6    no    
    87690      2018-6-9     no    
    30052      2018-8-9     no    
    52089      2016-8-1     no    
