Membership No  Date Joined  Active  
    76352      2019-11-21   no    
    61852      2016-5-8     no    
    51848      2017-11-24   no    
    48823      2019-2-5     no    
    20622      2018-6-8     no    
    40944      2015-8-11    no    
    35134      2016-2-20    no    
    87585      2018-8-22    no    
    45243      2018-2-24    no    
    95675      2018-2-25    no    
    55224      2016-11-4    no    
    64746      2018-1-7     no    
    30722      2017-2-13    no    
    82998      2020-4-22    no    
    77984      2017-12-13   no    
